slug,brand_name,total_reports,flag_reason
dollar-general-effervescent-pain-reliever,DOLLAR GENERAL EFFERVESCENT PAIN RELIEVER,499941,"symptom word: ""pain"" | long name: 5 words"
pain-relief-aspirin-chewable-low-dose,"PAIN RELIEF ASPIRIN CHEWABLE, LOW DOSE",499941,"symptom word: ""pain"" | form word: ""chewable"" | long name: 6 words | all generic words"
xpect-chewable-aspirin,XPECT CHEWABLE ASPIRIN,499941,"form word: ""chewable"""
pain-relief-aspirin,PAIN RELIEF ASPIRIN,499941,"symptom word: ""pain"" | all generic words"
good-sense-effervescent-pain-relief,GOOD SENSE EFFERVESCENT PAIN RELIEF,499941,"symptom word: ""pain"" | long name: 5 words"
nobleaid-pain-reliever,NOBLEAID PAIN RELIEVER,499941,"symptom word: ""pain"""
up-and-up-chewable-aspirin,UP AND UP CHEWABLE ASPIRIN,499941,"form word: ""chewable"" | long name: 5 words"
drug-mart-effervescent-pain-relief,DRUG MART EFFERVESCENT PAIN RELIEF,499941,"symptom word: ""pain"" | long name: 5 words"
gencare-aspirin-low-dose-pain-reliever-nsaid,GENCARE-ASPIRIN LOW DOSE PAIN RELIEVER (NSAID),499941,"symptom word: ""pain"" | long name: 7 words"
heb-effervescent-pain-relief,HEB EFFERVESCENT PAIN RELIEF,499941,"symptom word: ""pain"""
regular-strength-enteric-coated-aspirin,REGULAR STRENGTH ENTERIC COATED ASPIRIN,499941,"retail phrase: ""regular strength"" | long name: 5 words | all generic words"
family-wellness-pain-reliever,FAMILY WELLNESS PAIN RELIEVER,499941,"symptom word: ""pain"""
quality-choice-effervescent-pain-relief,QUALITY CHOICE EFFERVESCENT PAIN RELIEF,499941,"symptom word: ""pain"" | long name: 5 words"
first-aid-direct-chewable-aspirin,FIRST AID DIRECT CHEWABLE ASPIRIN,499941,"form word: ""chewable"" | long name: 5 words"
adult-low-dose-enteric-coated-aspirin,ADULT LOW DOSE ENTERIC COATED ASPIRIN,499941,long name: 6 words | all generic words
adult-low-dose-pain-reliever,ADULT LOW DOSE PAIN RELIEVER,499941,"symptom word: ""pain"" | long name: 5 words"
acid-reducer,ACID REDUCER,466430,"symptom word: ""acid"""
pain-relief,PAIN RELIEF,459957,"symptom word: ""pain"" | all generic words"
goodnow-pain-relief,GOODNOW PAIN RELIEF,416249,"symptom word: ""pain"""
tylenol-extra-strength,TYLENOL EXTRA STRENGTH,410222,"retail phrase: ""extra strength"""
tylenol-regular-strength,TYLENOL REGULAR STRENGTH,393542,"retail phrase: ""regular strength"""
omeprazole,OMEPRAZOLE,339247,all generic words
omeprazolesodium-bicarbonate,OMEPRAZOLE/SODIUM BICARBONATE,336486,all generic words
equate-omeprazole-delayed-release-acid-reducer,EQUATE OMEPRAZOLE DELAYED RELEASE ACID REDUCER,336273,"symptom word: ""acid"" | long name: 6 words"
good-sense-omeprazole-delayed-release,GOOD SENSE OMEPRAZOLE DELAYED RELEASE,336268,long name: 5 words
arthritis-pain-reliever,ARTHRITIS PAIN RELIEVER,272883,"symptom word: ""arthritis"""
tylenol-extra-strength-caplet,TYLENOL EXTRA STRENGTH CAPLET,265869,"form word: ""caplet"" | retail phrase: ""extra strength"""
excedrin-rapid-relief,EXCEDRIN RAPID RELIEF,253918,"symptom word: ""relief"""
tylenol-8-hr-arthritis-pain,TYLENOL 8 HR ARTHRITIS PAIN,252326,"symptom word: ""arthritis"" | long name: 5 words"
panadol-extra-strength,PANADOL EXTRA STRENGTH,249892,"retail phrase: ""extra strength"""
childrens-tylenol,CHILDRENS TYLENOL,248846,"retail phrase: ""childrens"""
infants-tylenol,INFANTS TYLENOL,247834,"retail phrase: ""infants"""
pain-reliever,PAIN RELIEVER,247763,"symptom word: ""pain"""
feverall-infants,FEVERALL INFANTS,247565,"retail phrase: ""infants"""
feverall-childrens,FEVERALL CHILDRENS,247542,"retail phrase: ""childrens"""
mapap-extra-strength,MAPAP EXTRA STRENGTH,247367,"retail phrase: ""extra strength"""
pain-relief-extra-strength,PAIN RELIEF EXTRA STRENGTH,247288,"symptom word: ""pain"" | retail phrase: ""extra strength"" | all generic words"
acetaminophen,ACETAMINOPHEN,247272,all generic words
pain-reliever-extra-strength,PAIN RELIEVER EXTRA STRENGTH,247186,"symptom word: ""pain"" | retail phrase: ""extra strength"""
extra-strength-pain-reliever,EXTRA STRENGTH PAIN RELIEVER,247182,"symptom word: ""pain"" | retail phrase: ""extra strength"""
acetaminophen-extra-strength,ACETAMINOPHEN EXTRA STRENGTH,247147,"retail phrase: ""extra strength"" | all generic words"
pain-reliever-childrens,PAIN RELIEVER CHILDRENS,247090,"symptom word: ""pain"" | retail phrase: ""childrens"""
midol-long-lasting-relief,MIDOL LONG LASTING RELIEF,247081,"symptom word: ""relief"""
dolex-children-pain-and-fever,DOLEX CHILDREN PAIN AND FEVER,247060,"symptom word: ""pain"" | long name: 5 words"
arthritis-pain,ARTHRITIS PAIN,247054,"symptom word: ""arthritis"" | all generic words"
extra-strength-acetaminophen,EXTRA STRENGTH ACETAMINOPHEN,247031,"retail phrase: ""extra strength"" | all generic words"
non-aspirin-childrens,NON-ASPIRIN CHILDRENS,247027,"retail phrase: ""childrens"" | all generic words"
arthritis-pain-relief,ARTHRITIS PAIN RELIEF,247026,"symptom word: ""arthritis"" | all generic words"
equate-pain-reliever,EQUATE PAIN RELIEVER,247025,"symptom word: ""pain"""
pain-relief-childrens,PAIN RELIEF CHILDRENS,247015,"symptom word: ""pain"" | retail phrase: ""childrens"" | all generic words"
pain-relief-extra-strength-non-aspirin,"PAIN RELIEF EXTRA STRENGTH, NON-ASPIRIN",247014,"symptom word: ""pain"" | retail phrase: ""extra strength"" | long name: 6 words | all generic words"
pain-relief-regular-strength,PAIN RELIEF REGULAR STRENGTH,247014,"symptom word: ""pain"" | retail phrase: ""regular strength"" | all generic words"
