slug,brand_name,total_reports,flag_reason
goodmeds-extra-strength-pain-relief-acetaminophen,GOODMEDS EXTRA STRENGTH PAIN RELIEF ACETAMINOPHEN,246991,"symptom word: ""pain"" | retail phrase: ""extra strength"" | long name: 6 words"
green-guard-maximum-non-aspirin,GREEN GUARD MAXIMUM NON-ASPIRIN,246991,long name: 5 words
eight-hour-pain-relief,EIGHT HOUR PAIN RELIEF,246991,"symptom word: ""pain"""
dye-free-pain-reliever-childrens,DYE FREE PAIN RELIEVER CHILDRENS,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 5 words"
dr-simi-pain-relief-100,DR SIMI PAIN RELIEF 100,246991,"symptom word: ""pain"" | long name: 5 words"
up-and-up-infants-acetaminophen,UP AND UP INFANTS ACETAMINOPHEN,246991,"retail phrase: ""infants"" | long name: 5 words"
nite-time-coldflu-medicine,NITE-TIME COLD/FLU MEDICINE,246991,"symptom word: ""cold"" | long name: 5 words"
members-mark-arthritis-pain,MEMBERS MARK ARTHRITIS PAIN,246991,"symptom word: ""arthritis"""
tylenol-extra-strength-travel-basix,"TYLENOL EXTRA STRENGTH, TRAVEL BASIX",246991,"retail phrase: ""extra strength"" | long name: 5 words"
rexall-pain-relief,REXALL PAIN RELIEF,246991,"symptom word: ""pain"""
dye-free-infants-pain-and-fever,DYE FREE INFANTS PAIN AND FEVER,246991,"symptom word: ""pain"" | retail phrase: ""infants"" | long name: 6 words"
dye-free-childrens-acetaminophen,DYE FREE CHILDRENS ACETAMINOPHEN,246991,"retail phrase: ""childrens"""
rugby-childrens-acetaminophen,RUGBY CHILDRENS ACETAMINOPHEN,246991,"retail phrase: ""childrens"""
meijer-childrens-pain-and-fever-reducer,MEIJER CHILDRENS PAIN AND FEVER REDUCER,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 6 words"
sanar-naturals-childrens-pain-reliever,SANAR NATURALS CHILDRENS PAIN RELIEVER,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 5 words"
drx-choice-regular-strength,DRX CHOICE REGULAR STRENGTH,246991,"retail phrase: ""regular strength"""
dr-simi-pain-relief,DR SIMI PAIN RELIEF,246991,"symptom word: ""pain"""
tylenol-extra-strength-cvp-health,"TYLENOL EXTRA STRENGTH, CVP HEALTH",246991,"retail phrase: ""extra strength"" | long name: 5 words"
tylenol-8-hr-muscle-aches-and-pain,TYLENOL 8 HR MUSCLE ACHES AND PAIN,246991,"symptom word: ""pain"" | long name: 7 words"
walgreenchildrens-pain-fever,WALGREENCHILDRENS PAIN FEVER,246991,"symptom word: ""pain"" | retail phrase: ""childrens"""
dye-free-pain-and-fever-childrens,DYE FREE PAIN AND FEVER CHILDRENS,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 6 words"
dr-cocoa-for-children-pain-and-fever,DR. COCOA FOR CHILDREN PAIN AND FEVER,246991,"symptom word: ""pain"" | long name: 7 words"
dr-kids-pain-and-fever,DR KIDS PAIN AND FEVER,246991,"symptom word: ""pain"" | long name: 5 words"
direct-safety-extra-strength-aspirin-free,DIRECT SAFETY EXTRA STRENGTH ASPIRIN FREE,246991,"retail phrase: ""extra strength"" | long name: 6 words"
infants-pain-fever,INFANTS PAIN FEVER,246991,"symptom word: ""pain"" | retail phrase: ""infants"" | all generic words"
infants-pain-relief,INFANTS PAIN RELIEF,246991,"symptom word: ""pain"" | retail phrase: ""infants"" | all generic words"
mommys-bliss-infants-pain-and-fever,MOMMYS BLISS INFANTS PAIN AND FEVER,246991,"symptom word: ""pain"" | retail phrase: ""infants"" | long name: 6 words"
dg-health-8-hr-arthritis-pain-relief,DG HEALTH 8 HR ARTHRITIS PAIN RELIEF,246991,"symptom word: ""arthritis"" | long name: 7 words"
infants-pain-reliever,INFANTS PAIN RELIEVER,246991,"symptom word: ""pain"" | retail phrase: ""infants"""
topcare-pain-and-fever,TOPCARE PAIN AND FEVER,246991,"symptom word: ""pain"""
topcare-infants-pain-and-fever,TOPCARE INFANTS PAIN AND FEVER,246991,"symptom word: ""pain"" | retail phrase: ""infants"" | long name: 5 words"
infants-fever-reducer-and-pain-reliever,INFANTS FEVER REDUCER AND PAIN RELIEVER,246991,"symptom word: ""fever"" | retail phrase: ""infants"" | long name: 6 words"
infants-pain-and-fever-cherry-flavor,INFANTS PAIN AND FEVER CHERRY FLAVOR,246991,"symptom word: ""pain"" | retail phrase: ""infants"" | long name: 6 words | all generic words"
junior-acetaminophen-ages-6-11,JUNIOR ACETAMINOPHEN AGES 6-11,246991,"retail word: ""junior"" | long name: 5 words"
pain-relief-8-hr,PAIN RELIEF 8 HR,246991,"symptom word: ""pain"""
careall-non-aspirin-extra-strength,CAREALL NON ASPIRIN EXTRA STRENGTH,246991,"retail phrase: ""extra strength"" | long name: 5 words"
medi-first-plus-non-aspirin-extra-strength,MEDI FIRST PLUS NON-ASPIRIN EXTRA STRENGTH,246991,"retail phrase: ""extra strength"" | long name: 7 words"
rugby-infants-acetaminophen,RUGBY INFANTS ACETAMINOPHEN,246991,"retail phrase: ""infants"""
careall-acetaminophen-extra-strength,CAREALL ACETAMINOPHEN EXTRA STRENGTH,246991,"retail phrase: ""extra strength"""
pain-relief-rapid-release-gelcaps-extra-strength,PAIN RELIEF RAPID RELEASE GELCAPS EXTRA STRENGTH,246991,"symptom word: ""pain"" | retail phrase: ""extra strength"" | long name: 7 words"
care-one-arthritis-pain-relief,CARE ONE ARTHRITIS PAIN RELIEF,246991,"symptom word: ""arthritis"" | long name: 5 words"
pain-reliever-dye-free,PAIN RELIEVER DYE FREE,246991,"symptom word: ""pain"""
signature-care-childrens-pain-relief,SIGNATURE CARE CHILDRENS PAIN RELIEF,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 5 words"
cabinet-pain-reliever-and-fever-reducer-refill-acetaminophen,CABINET PAIN RELIEVER AND FEVER REDUCER REFILL ACETAMINOPHEN,246991,"symptom word: ""pain"" | long name: 8 words"
medi-first-plus-non-aspirin,MEDI FIRST PLUS NON-ASPIRIN,246991,long name: 5 words
medi-first-extra-strength-non-aspirin,MEDI-FIRST EXTRA STRENGTH NON ASPIRIN,246991,"retail phrase: ""extra strength"" | long name: 6 words"
better-living-brands-childrens-fever-and-pain-reliver,BETTER LIVING BRANDS CHILDRENS FEVER AND PAIN RELIVER,246991,"symptom word: ""fever"" | retail phrase: ""childrens"" | long name: 8 words"
medi-first-non-aspirin-extra-strength,MEDI-FIRST NON-ASPIRIN EXTRA STRENGTH,246991,"retail phrase: ""extra strength"" | long name: 6 words"
berkley-and-jensen-rapid-release-acetaminophen,BERKLEY AND JENSEN RAPID RELEASE ACETAMINOPHEN,246991,long name: 6 words
berkley-and-jensen-pain-relief,BERKLEY AND JENSEN PAIN RELIEF,246991,"symptom word: ""pain"" | long name: 5 words"
medi-first-plus-extra-strength-non-aspirin,MEDI-FIRST PLUS EXTRA STRENGTH NON ASPIRIN,246991,"retail phrase: ""extra strength"" | long name: 7 words"
pain-reliever-fever-reducer-childrens,PAIN RELIEVER FEVER REDUCER CHILDRENS,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 5 words"
aurophen-regular-strength,AUROPHEN REGULAR STRENGTH,246991,"retail phrase: ""regular strength"""
childrens-pain-and-fever-cherry-flavor,CHILDRENS PAIN AND FEVER CHERRY FLAVOR,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 6 words | all generic words"
childrens-fever-reducer-and-pain-reliever,CHILDRENS FEVER REDUCER AND PAIN RELIEVER,246991,"symptom word: ""fever"" | retail phrase: ""childrens"" | long name: 6 words"
childrens-chewables,CHILDRENS CHEWABLES,246991,"retail phrase: ""childrens"""
basic-care-childrens-pain-and-fever,BASIC CARE CHILDRENS PAIN AND FEVER,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 6 words"
basic-care-infants-pain-and-fever,BASIC CARE INFANTS PAIN AND FEVER,246991,"symptom word: ""pain"" | retail phrase: ""infants"" | long name: 6 words"
liquid-acetaminophen,LIQUID ACETAMINOPHEN,246991,"form word: ""liquid"" | all generic words"
physicianscare-non-aspirin-extra-strength,PHYSICIANSCARE NON ASPIRIN EXTRA STRENGTH,246991,"retail phrase: ""extra strength"" | long name: 5 words"
childrens-acetaminophen-oral-liquid-grape-flavor,CHILDRENS ACETAMINOPHEN ORAL LIQUID GRAPE FLAVOR,246991,"form word: ""liquid"" | retail phrase: ""childrens"" | long name: 6 words"
little-remedies-childrens-fever-pain-reliever,LITTLE REMEDIES CHILDRENS FEVER PAIN RELIEVER,246991,"symptom word: ""fever"" | retail phrase: ""childrens"" | long name: 6 words"
topcare-childrens-pain-and-fever,TOPCARE CHILDRENS PAIN AND FEVER,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 5 words"
medique-extra-strength-apap,MEDIQUE EXTRA STRENGTH APAP,246991,"retail phrase: ""extra strength"""
topcare-8-hour-pain-relief,TOPCARE 8 HOUR PAIN RELIEF,246991,"symptom word: ""pain"" | long name: 5 words"
thompson-extra-strength-non-aspirin,THOMPSON EXTRA STRENGTH NON-ASPIRIN,246991,"retail phrase: ""extra strength"" | long name: 5 words"
childrens-tukol-acetaminophen-fever-reducer-pain-reducer,CHILDRENS TUKOL ACETAMINOPHEN FEVER REDUCER PAIN REDUCER,246991,"symptom word: ""fever"" | retail phrase: ""childrens"" | long name: 7 words"
childrens-pain-reliever-and-fever-reducer-grape,CHILDRENS PAIN RELIEVER AND FEVER REDUCER GRAPE,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 7 words"
childrens-pain-reliever-and-fever-reducer-cherry,CHILDRENS PAIN RELIEVER AND FEVER REDUCER CHERRY,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 7 words"
childrens-pain-plus-fever-relief,CHILDRENS PAIN PLUS FEVER RELIEF,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 5 words | all generic words"
childrens-pain-and-fever-grape-flavor,"CHILDRENS PAIN AND FEVER, GRAPE FLAVOR",246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 6 words | all generic words"
children-pain-and-fever-reliver,CHILDREN PAIN AND FEVER RELIVER,246991,"symptom word: ""pain"" | long name: 5 words"
children-pain-and-fever-reliever,CHILDREN PAIN AND FEVER RELIEVER,246991,"symptom word: ""pain"" | long name: 5 words"
bactimicina-childrens-pain-and-fever,BACTIMICINA CHILDRENS PAIN AND FEVER,246991,"symptom word: ""pain"" | retail phrase: ""childrens"" | long name: 5 words"
medique-apap-extra-strength,MEDIQUE APAP EXTRA STRENGTH,246991,"retail phrase: ""extra strength"""
major-extra-strength-acetaminophen-liquid,MAJOR EXTRA STRENGTH ACETAMINOPHEN LIQUID,246991,"form word: ""liquid"" | retail phrase: ""extra strength"" | long name: 5 words"
chewable-acetaminophen-childrens,CHEWABLE ACETAMINOPHEN CHILDRENS,246991,"form word: ""chewable"" | retail phrase: ""childrens"" | all generic words"
maximum-strength-non-aspirin-100,MAXIMUM STRENGTH NON-ASPIRIN 100,246991,"retail phrase: ""maximum strength"" | long name: 5 words | all generic words"
careone-infants-acetaminophen,CAREONE INFANTS ACETAMINOPHEN,246991,"retail phrase: ""infants"""
careone-childrens-acetaminophen,CAREONE CHILDRENS ACETAMINOPHEN,246991,"retail phrase: ""childrens"""
careone-8-hour-pain-relief,CAREONE 8 HOUR PAIN RELIEF,246991,"symptom word: ""pain"" | long name: 5 words"
folic-acid,FOLIC ACID,244558,"symptom word: ""acid"""
foster-and-thrive-acid-reducer,FOSTER AND THRIVE ACID REDUCER,217006,"symptom word: ""acid"" | long name: 5 words"
motrin-infants,MOTRIN INFANTS,212478,"retail phrase: ""infants"""
advil-liqui-gels,ADVIL LIQUI-GELS,198868,"form word: ""gels"""
childrens-motrin,CHILDRENS MOTRIN,197853,"retail phrase: ""childrens"""
ranitidine,RANITIDINE,197546,all generic words
childrens-advil,CHILDRENS ADVIL,196219,"retail phrase: ""childrens"""
childrens-ibuprofen,CHILDRENS IBUPROFEN,195515,"retail phrase: ""childrens"" | all generic words"
ibuprofen,IBUPROFEN,195385,all generic words
junior-strength-advil,JUNIOR STRENGTH ADVIL,195263,"retail word: ""junior"""
ibuprofen-fast-relief-medicine-for-pain,IBUPROFEN FAST RELIEF MEDICINE FOR PAIN,195152,"symptom word: ""relief"" | long name: 6 words"
migraine-relief,MIGRAINE RELIEF,195151,"symptom word: ""relief"""
equate-ibuprofen-childrens,EQUATE IBUPROFEN CHILDRENS,195123,"retail phrase: ""childrens"""
ibuprofen-100,IBUPROFEN 100,195107,all generic words
ibuprofen-250,IBUPROFEN 250,195107,all generic words
ibuprofen-200,IBUPROFEN 200,195107,all generic words
infants-ibuprofen,INFANTS IBUPROFEN,195069,"retail phrase: ""infants"" | all generic words"
infants-motrin,INFANTS MOTRIN,195057,"retail phrase: ""infants"""
ibuprofen-childrens,IBUPROFEN CHILDRENS,195043,"retail phrase: ""childrens"" | all generic words"
concentrated-ibuprofen-infants,CONCENTRATED IBUPROFEN INFANTS,195037,"retail phrase: ""infants"""
infants-advil,INFANTS ADVIL,195036,"retail phrase: ""infants"""
ibuprofen-infants,IBUPROFEN INFANTS,195036,"retail phrase: ""infants"" | all generic words"
good-sense-ibuprofen-childrens,GOOD SENSE IBUPROFEN CHILDRENS,195033,"retail phrase: ""childrens"""
good-sense-ibuprofen-infants,GOOD SENSE IBUPROFEN INFANTS,195033,"retail phrase: ""infants"""
equaline-ibuprofen-childrens,EQUALINE IBUPROFEN CHILDRENS,195031,"retail phrase: ""childrens"""
up-and-up-dye-free-infants-concentrated-ibuprofen,UP AND UP DYE FREE INFANTS CONCENTRATED IBUPROFEN,195031,"retail phrase: ""infants"" | long name: 8 words"
infants-dye-free-ibuprofen,INFANTS DYE FREE IBUPROFEN,195031,"retail phrase: ""infants"""
care-one-ibuprofen-childrens,CARE ONE IBUPROFEN CHILDRENS,195031,"retail phrase: ""childrens"""
childrens-ibuprofen-100-dye-free,CHILDRENS IBUPROFEN 100 DYE FREE,195031,"retail phrase: ""childrens"" | long name: 5 words"
childrens-ibuprofen-100,CHILDRENS IBUPROFEN 100,195031,"retail phrase: ""childrens"" | all generic words"
childrens-ibuprofen-572,CHILDRENS IBUPROFEN 572,195031,"retail phrase: ""childrens"" | all generic words"
dye-free-pain-relief,DYE-FREE PAIN RELIEF,195030,"symptom word: ""pain"""
profen-ib-childrens,PROFEN IB CHILDRENS,195030,"retail phrase: ""childrens"""
topcare-childrens-ibuprofen,TOPCARE CHILDRENS IBUPROFEN,195030,"retail phrase: ""childrens"""
foster-and-thrive-childrens-ibuprofen-ib,FOSTER AND THRIVE CHILDRENS IBUPROFEN IB,195030,"retail phrase: ""childrens"" | long name: 6 words"
cabinet-pain-reliever-and-fever-reducer,CABINET PAIN RELIEVER AND FEVER REDUCER,195030,"symptom word: ""pain"" | long name: 6 words"
good-sense-infants-ibuprofen,GOOD SENSE INFANTS IBUPROFEN,195030,"retail phrase: ""infants"""
ibuprofen-lil-drug-store-50ct,"IBUPROFEN, LIL DRUG STORE, 50CT",195030,long name: 5 words
ibuprofen-pain-relieverfever-reducer,IBUPROFEN PAIN RELIEVER/FEVER REDUCER,195030,"symptom word: ""pain"" | long name: 5 words"
up-and-up-childrens-ibuprofen,UP AND UP CHILDRENS IBUPROFEN,195030,"retail phrase: ""childrens"" | long name: 5 words"
green-guard-ibuprofen-relief,GREEN GUARD IBUPROFEN RELIEF,195030,"symptom word: ""relief"""
signature-care-childrens-ibuprofen,SIGNATURE CARE CHILDRENS IBUPROFEN,195030,"retail phrase: ""childrens"""
ibuprofen-lil-drug-store-24ct,"IBUPROFEN, LIL DRUG STORE, 24CT",195030,long name: 5 words
good-sense-childrens-ibuprofen,GOOD SENSE CHILDRENS IBUPROFEN,195030,"retail phrase: ""childrens"""
parents-choice-infants-ibuprofen,PARENTS CHOICE INFANTS IBUPROFEN,195030,"retail phrase: ""infants"""
careone-childrens-ibuprofen,CAREONE CHILDRENS IBUPROFEN,195030,"retail phrase: ""childrens"""
ibuprofen-pain-releiver-fever-reducer,IBUPROFEN PAIN RELEIVER/ FEVER REDUCER,195030,"symptom word: ""pain"" | long name: 5 words"
dg-health-childrens-ibuprofen,DG HEALTH CHILDRENS IBUPROFEN,195030,"retail phrase: ""childrens"""
ibuprofen-mini-dye-free-advil,IBUPROFEN MINI DYE FREE ADVIL,195030,long name: 5 words
childrens-flanax-oral,CHILDRENS FLANAX ORAL,195030,"retail phrase: ""childrens"""
green-guard-ibupro-relief,GREEN GUARD IBUPRO RELIEF,195030,"symptom word: ""relief"""
good-neighbor-pharmacy-childrens-ibuprofen,GOOD NEIGHBOR PHARMACY CHILDRENS IBUPROFEN,195030,"retail phrase: ""childrens"" | long name: 5 words"
ibuprofen-immediate-release,IBUPROFEN IMMEDIATE RELEASE,195030,all generic words
equaline-childrens-ibuprofen,EQUALINE CHILDRENS IBUPROFEN,195030,"retail phrase: ""childrens"""
good-neighbor-pharmacy-ibuprofen-childrens,GOOD NEIGHBOR PHARMACY IBUPROFEN CHILDRENS,195030,"retail phrase: ""childrens"" | long name: 5 words"
ibuprofen-247-life-by-7-eleven,IBUPROFEN 24/7 LIFE BY 7-ELEVEN,195030,long name: 7 words
pediacare-childrens-ibuprofen-berry,PEDIACARE CHILDRENS IBUPROFEN BERRY,195030,"retail phrase: ""childrens"""
ibuprofen-nsaid-pain-releiver-fever-reducer,IBUPROFEN (NSAID) PAIN RELEIVER/ FEVER REDUCER,195030,"symptom word: ""pain"" | long name: 6 words"
dye-free-childrens-ibuprofen,DYE FREE CHILDRENS IBUPROFEN,195030,"retail phrase: ""childrens"""
childrens-ibuprofen-grape,CHILDRENS IBUPROFEN GRAPE,195030,"retail phrase: ""childrens"" | all generic words"
childrens-ibuprofen-fruit,CHILDRENS IBUPROFEN FRUIT,195030,"retail phrase: ""childrens"""
childrens-ibuprofen-bubblegum,CHILDRENS IBUPROFEN BUBBLEGUM,195030,"retail phrase: ""childrens"""
childrens-ibuprofen-blue-raspberry,CHILDRENS IBUPROFEN BLUE RASPBERRY,195030,"retail phrase: ""childrens"""
topcare-infants-ibuprofen,TOPCARE INFANTS IBUPROFEN,195030,"retail phrase: ""infants"""
betr-pain-relief,BETR PAIN RELIEF,195030,"symptom word: ""pain"""
profen-ib-infants,PROFEN IB INFANTS,195030,"retail phrase: ""infants"""
fast-pain-relief,FAST PAIN RELIEF,195030,"symptom word: ""pain"" | all generic words"
leader-infants-ibuprofen,LEADER INFANTS IBUPROFEN,195030,"retail phrase: ""infants"""
foster-and-thrive-infants-ibuprofen,FOSTER AND THRIVE INFANTS IBUPROFEN,195030,"retail phrase: ""infants"" | long name: 5 words"
leader-childrens-ibuprofen,LEADER CHILDRENS IBUPROFEN,195030,"retail phrase: ""childrens"""
kosher-meds-dye-free-ibuprofen,KOSHER MEDS DYE-FREE IBUPROFEN,195030,long name: 5 words
basic-care-childrens-ibuprofen,BASIC CARE CHILDRENS IBUPROFEN,195030,"retail phrase: ""childrens"""
basic-care-infants-ibuprofen,BASIC CARE INFANTS IBUPROFEN,195030,"retail phrase: ""infants"""
signature-care-infants-ibuprofen,SIGNATURE CARE INFANTS IBUPROFEN,195030,"retail phrase: ""infants"""
proactiv-md-adapalene-acne-treatment,PROACTIV MD ADAPALENE ACNE TREATMENT,179844,long name: 5 words
allergy-relief,ALLERGY RELIEF,176471,"symptom word: ""allergy"" | all generic words"
tylenol-cold-plus-head-congestion-severe,TYLENOL COLD PLUS HEAD CONGESTION SEVERE,156045,"symptom word: ""cold"" | long name: 6 words"
careone-allergy-relief,CAREONE ALLERGY RELIEF,146062,"symptom word: ""allergy"""
childrens-allergy-relief,CHILDRENS ALLERGY RELIEF,137926,"symptom word: ""allergy"" | retail phrase: ""childrens"" | all generic words"
childrens-allergy,CHILDRENS ALLERGY,136329,"symptom word: ""allergy"" | retail phrase: ""childrens"" | all generic words"
humalog-junior-kwikpen,HUMALOG JUNIOR KWIKPEN,122042,"retail word: ""junior"""
equate-allergy-relief,EQUATE ALLERGY RELIEF,120752,"symptom word: ""allergy"""
allergy,ALLERGY,108833,"symptom word: ""allergy"" | all generic words"
signature-care-acid-reducer,SIGNATURE CARE ACID REDUCER,104027,"symptom word: ""acid"""
careone-acid-reducer,CAREONE ACID REDUCER,104027,"symptom word: ""acid"""
signature-care-allergy-relief,SIGNATURE CARE ALLERGY RELIEF,103310,"symptom word: ""allergy"""
claritin-liqui-gels,CLARITIN LIQUI-GELS,100325,"form word: ""gels"""
claritin-allergy,CLARITIN ALLERGY,99660,"symptom word: ""allergy"""
voltaren-arthritis-pain,VOLTAREN ARTHRITIS PAIN,99125,"symptom word: ""arthritis"""
itch-relief,ITCH RELIEF,92773,"symptom word: ""itch"" | all generic words"
careone-childrens-allergy-relief,CAREONE CHILDRENS ALLERGY RELIEF,90379,"symptom word: ""allergy"" | retail phrase: ""childrens"""
flonase-allergy-relief,FLONASE ALLERGY RELIEF,89442,"symptom word: ""allergy"""
back-and-muscle-pain,BACK AND MUSCLE PAIN,87510,"symptom word: ""pain"""
naproxen,NAPROXEN,87510,all generic words
all-day-allergy-relief,ALL DAY ALLERGY RELIEF,84542,"symptom word: ""allergy"""
foster-and-thrive-childrens-allergy-relief,FOSTER AND THRIVE CHILDRENS ALLERGY RELIEF,83441,"symptom word: ""allergy"" | retail phrase: ""childrens"" | long name: 6 words"
paclitaxel-protein-bound-particles-albumin-bound,PACLITAXEL PROTEIN BOUND PARTICLES ALBUMIN BOUND,79286,long name: 6 words
nightime-sleep-aid,NIGHTIME SLEEP AID,79188,"symptom word: ""sleep"""
diphenhydramine,DIPHENHYDRAMINE,79188,all generic words
pepcid-ac-maximum-strength,PEPCID AC MAXIMUM STRENGTH,79163,"retail phrase: ""maximum strength"""
acid-controller,ACID CONTROLLER,78891,"symptom word: ""acid"""
heartburn-relief,HEARTBURN RELIEF,78886,"symptom word: ""heartburn"" | all generic words"
basic-care-acid-reducer,BASIC CARE ACID REDUCER,78854,"symptom word: ""acid"""
heartburn-prevention,HEARTBURN PREVENTION,78851,"symptom word: ""heartburn"""
members-mark-allergy-relief,MEMBERS MARK ALLERGY RELIEF,76855,"symptom word: ""allergy"""
up-and-up-allergy-relief,UP AND UP ALLERGY RELIEF,76854,"symptom word: ""allergy"" | long name: 5 words"
welby-childrens-allergy-relief,WELBY CHILDRENS ALLERGY RELIEF,76854,"symptom word: ""allergy"" | retail phrase: ""childrens"""
up-and-up-childrens-allergy,UP AND UP CHILDRENS ALLERGY,76854,"symptom word: ""allergy"" | retail phrase: ""childrens"" | long name: 5 words"
goodnow-allergy-relief,GOODNOW ALLERGY RELIEF,76854,"symptom word: ""allergy"""
exchange-select-allergy-relief,EXCHANGE SELECT ALLERGY RELIEF,75398,"symptom word: ""allergy"""
foster-and-thrive-allergy-relief,FOSTER AND THRIVE ALLERGY RELIEF,75398,"symptom word: ""allergy"" | long name: 5 words"
careall-allergy-relief,CAREALL ALLERGY RELIEF,75369,"symptom word: ""allergy"""
acid-reducer-original-strength,ACID REDUCER ORIGINAL STRENGTH,73777,"symptom word: ""acid"""
acid-controller-original-strength,ACID CONTROLLER ORIGINAL STRENGTH,73592,"symptom word: ""acid"""
heartburn-relief-original-strength,HEARTBURN RELIEF ORIGINAL STRENGTH,73570,"symptom word: ""heartburn"" | all generic words"
maximum-strength-pepcid-ac-icy-cool-mint,MAXIMUM STRENGTH PEPCID AC ICY COOL MINT,73568,"retail phrase: ""maximum strength"" | long name: 7 words"
kirkland-signature-acid-controller,KIRKLAND SIGNATURE ACID CONTROLLER,73554,"symptom word: ""acid"""
acid-relief,ACID RELIEF,73553,"symptom word: ""acid"" | all generic words"
signature-care-acid-controller-maximum-strength,SIGNATURE CARE ACID CONTROLLER MAXIMUM STRENGTH,73553,"symptom word: ""acid"" | retail phrase: ""maximum strength"" | long name: 6 words"
topcare-acid-reducer,TOPCARE ACID REDUCER,73552,"symptom word: ""acid"""
dg-health-acid-reducer,DG HEALTH ACID REDUCER,73552,"symptom word: ""acid"""
calmicid-ac-acid-reducer,CALMICID AC ACID REDUCER,73552,"symptom word: ""acid"""
careone-acid-relief,CAREONE ACID RELIEF,73552,"symptom word: ""acid"""
maximum-strength-acid-reducer,MAXIMUM STRENGTH ACID REDUCER,73552,"symptom word: ""acid"" | retail phrase: ""maximum strength"""
dg-health-heartburn-prevention,DG HEALTH HEARTBURN PREVENTION,73551,"symptom word: ""heartburn"""
basic-care-heartburn-prevention,BASIC CARE HEARTBURN PREVENTION,73551,"symptom word: ""heartburn"""
amazon-basic-care-acid-reducer,AMAZON BASIC CARE ACID REDUCER,73551,"symptom word: ""acid"" | long name: 5 words"
maximum-strength,MAXIMUM STRENGTH,73551,"retail phrase: ""maximum strength"" | all generic words"
members-mark-acid-pep,MEMBERS MARK ACID PEP,73551,"symptom word: ""acid"""
major-heartburn-relief-maximum-strength,MAJOR HEARTBURN RELIEF MAXIMUM STRENGTH,73551,"symptom word: ""heartburn"" | retail phrase: ""maximum strength"" | long name: 5 words"
original-strength-heartburn-prevention,ORIGINAL STRENGTH HEARTBURN PREVENTION,73551,"symptom word: ""heartburn"""
famotidine,FAMOTIDINE,73551,all generic words
leader-acid-reducer,LEADER ACID REDUCER,73551,"symptom word: ""acid"""
signature-care-acid-controller,SIGNATURE CARE ACID CONTROLLER,73551,"symptom word: ""acid"""
dg-health-heartburn-prevention-original-strength,DG HEALTH HEARTBURN PREVENTION ORIGINAL STRENGTH,73551,"symptom word: ""heartburn"" | long name: 6 words"
maximum-strength-acid-controller,MAXIMUM STRENGTH ACID CONTROLLER,73551,"symptom word: ""acid"" | retail phrase: ""maximum strength"""
good-sense-acid-reducer,GOOD SENSE ACID REDUCER,73551,"symptom word: ""acid"""
equaline-heartburn-prevention,EQUALINE HEARTBURN PREVENTION,73551,"symptom word: ""heartburn"""
topcare-allergy-relief,TOPCARE ALLERGY RELIEF,73330,"symptom word: ""allergy"""
basic-care-allergy-relief,BASIC CARE ALLERGY RELIEF,71227,"symptom word: ""allergy"""
extra-strenght-saline-mist-rite-aid,EXTRA STRENGHT SALINE MIST RITE AID,70390,long name: 6 words
dg-health-sterile-saline-mist,DG HEALTH STERILE SALINE MIST,70390,long name: 5 words
winco-foods-saline-nasal-relief,WINCO FOODS SALINE NASAL RELIEF,70390,"symptom word: ""relief"" | long name: 5 words"
sodium-chloride-ophthalmic-5-percent-hypertonicity-eye,SODIUM CHLORIDE OPHTHALMIC 5 PERCENT HYPERTONICITY EYE,70390,long name: 7 words
sterile-saline-kids-mist-sinucleanse-breathe,STERILE SALINE KIDS MIST SINUCLEANSE BREATHE,70390,long name: 6 words
sterile-saline-mist-rite-aid,STERILE SALINE MIST RITE AID,70390,long name: 5 words
walgreens-saline-mist-extra-strength,WALGREENS SALINE MIST EXTRA STRENGTH,70390,"retail phrase: ""extra strength"" | long name: 5 words"
sterile-saline-kids-mist-pediameds,STERILE SALINE KIDS MIST PEDIAMEDS,70390,long name: 5 words
wild-horse-777-moisturizing-nasal,WILD HORSE 777 MOISTURIZING NASAL,70390,long name: 5 words
sinucleanse-sterile-saline-mist-daily-care,SINUCLEANSE STERILE SALINE MIST DAILY CARE,70390,long name: 6 words
cvs-health-sterile-saline-mist-live-better,CVS HEALTH STERILE SALINE MIST LIVE BETTER,70390,long name: 7 words
cvs-health-sterile-saline-mist,CVS HEALTH STERILE SALINE MIST,70390,long name: 5 words
berkley-and-jensen-allergy-relief,BERKLEY AND JENSEN ALLERGY RELIEF,67972,"symptom word: ""allergy"" | long name: 5 words"
topcare-childrens-allergy,TOPCARE CHILDRENS ALLERGY,67972,"symptom word: ""allergy"" | retail phrase: ""childrens"""
