slug,brand_name,total_reports,flag_reason,cat_why
unishield-extra-strength-non-aspirin,"UNISHIELD EXTRA STRENGTH NON ASPIRIN",246991,"retail phrase: "extra strength" | long name: 5 words","flagged, no auto-remove match"
uline-acetaminophen-extra-strength,"ULINE ACETAMINOPHEN EXTRA STRENGTH",246991,"retail phrase: "extra strength"","flagged, no auto-remove match"
goodmeds-extra-strength-pain-relief-acetaminophen,"GOODMEDS EXTRA STRENGTH PAIN RELIEF ACETAMINOPHEN",246991,"symptom word: "pain" | retail phrase: "extra strength" | long name: 6 words","flagged, no auto-remove match"
green-guard-maximum-non-aspirin,"GREEN GUARD MAXIMUM NON-ASPIRIN",246991,"long name: 5 words","flagged, no auto-remove match"
eight-hour-pain-relief,"EIGHT HOUR PAIN RELIEF",246991,"symptom word: "pain"","flagged, no auto-remove match"
dye-free-pain-reliever-childrens,"DYE FREE PAIN RELIEVER CHILDRENS",246991,"symptom word: "pain" | retail phrase: "childrens" | long name: 5 words","flagged, no auto-remove match"
dr-simi-pain-relief-100,"DR SIMI PAIN RELIEF 100",246991,"symptom word: "pain" | long name: 5 words","flagged, no auto-remove match"
nite-time-coldflu-medicine,"NITE-TIME COLD/FLU MEDICINE",246991,"symptom word: "cold" | long name: 5 words","flagged, no auto-remove match"
dye-free-infants-pain-and-fever,"DYE FREE INFANTS PAIN AND FEVER",246991,"symptom word: "pain" | retail phrase: "infants" | long name: 6 words","flagged, no auto-remove match"
dye-free-childrens-acetaminophen,"DYE FREE CHILDRENS ACETAMINOPHEN",246991,"retail phrase: "childrens"","flagged, no auto-remove match"
sanar-naturals-childrens-pain-reliever,"SANAR NATURALS CHILDRENS PAIN RELIEVER",246991,"symptom word: "pain" | retail phrase: "childrens" | long name: 5 words","flagged, no auto-remove match"
drx-choice-regular-strength,"DRX CHOICE REGULAR STRENGTH",246991,"retail phrase: "regular strength"","flagged, no auto-remove match"
dr-simi-pain-relief,"DR SIMI PAIN RELIEF",246991,"symptom word: "pain"","flagged, no auto-remove match"
dye-free-pain-and-fever-childrens,"DYE FREE PAIN AND FEVER CHILDRENS",246991,"symptom word: "pain" | retail phrase: "childrens" | long name: 6 words","flagged, no auto-remove match"
dr-cocoa-for-children-pain-and-fever,"DR. COCOA FOR CHILDREN PAIN AND FEVER",246991,"symptom word: "pain" | long name: 7 words","flagged, no auto-remove match"
dr-kids-pain-and-fever,"DR KIDS PAIN AND FEVER",246991,"symptom word: "pain" | long name: 5 words","flagged, no auto-remove match"
direct-safety-extra-strength-aspirin-free,"DIRECT SAFETY EXTRA STRENGTH ASPIRIN FREE",246991,"retail phrase: "extra strength" | long name: 6 words","flagged, no auto-remove match"
infants-pain-reliever,"INFANTS PAIN RELIEVER",246991,"symptom word: "pain" | retail phrase: "infants"","flagged, no auto-remove match"
infants-fever-reducer-and-pain-reliever,"INFANTS FEVER REDUCER AND PAIN RELIEVER",246991,"symptom word: "fever" | retail phrase: "infants" | long name: 6 words","flagged, no auto-remove match"
junior-acetaminophen-ages-6-11,"JUNIOR ACETAMINOPHEN AGES 6-11",246991,"retail word: "junior" | long name: 5 words","flagged, no auto-remove match"
pain-relief-8-hr,"PAIN RELIEF 8 HR",246991,"symptom word: "pain"","flagged, no auto-remove match"
medi-first-plus-non-aspirin-extra-strength,"MEDI FIRST PLUS NON-ASPIRIN EXTRA STRENGTH",246991,"retail phrase: "extra strength" | long name: 7 words","flagged, no auto-remove match"
pain-relief-rapid-release-gelcaps-extra-strength,"PAIN RELIEF RAPID RELEASE GELCAPS EXTRA STRENGTH",246991,"symptom word: "pain" | retail phrase: "extra strength" | long name: 7 words","flagged, no auto-remove match"
care-one-arthritis-pain-relief,"CARE ONE ARTHRITIS PAIN RELIEF",246991,"symptom word: "arthritis" | long name: 5 words","flagged, no auto-remove match"
pain-reliever-dye-free,"PAIN RELIEVER DYE FREE",246991,"symptom word: "pain"","flagged, no auto-remove match"
cabinet-pain-reliever-and-fever-reducer-refill-acetaminophen,"CABINET PAIN RELIEVER AND FEVER REDUCER REFILL ACETAMINOPHEN",246991,"symptom word: "pain" | long name: 8 words","flagged, no auto-remove match"
medi-first-plus-non-aspirin,"MEDI FIRST PLUS NON-ASPIRIN",246991,"long name: 5 words","flagged, no auto-remove match"
medi-first-extra-strength-non-aspirin,"MEDI-FIRST EXTRA STRENGTH NON ASPIRIN",246991,"retail phrase: "extra strength" | long name: 6 words","flagged, no auto-remove match"
medi-first-non-aspirin-extra-strength,"MEDI-FIRST NON-ASPIRIN EXTRA STRENGTH",246991,"retail phrase: "extra strength" | long name: 6 words","flagged, no auto-remove match"
medi-first-plus-extra-strength-non-aspirin,"MEDI-FIRST PLUS EXTRA STRENGTH NON ASPIRIN",246991,"retail phrase: "extra strength" | long name: 7 words","flagged, no auto-remove match"
pain-reliever-fever-reducer-childrens,"PAIN RELIEVER FEVER REDUCER CHILDRENS",246991,"symptom word: "pain" | retail phrase: "childrens" | long name: 5 words","flagged, no auto-remove match"
childrens-fever-reducer-and-pain-reliever,"CHILDRENS FEVER REDUCER AND PAIN RELIEVER",246991,"symptom word: "fever" | retail phrase: "childrens" | long name: 6 words","flagged, no auto-remove match"
childrens-chewables,"CHILDRENS CHEWABLES",246991,"retail phrase: "childrens"","flagged, no auto-remove match"
physicianscare-non-aspirin-extra-strength,"PHYSICIANSCARE NON ASPIRIN EXTRA STRENGTH",246991,"retail phrase: "extra strength" | long name: 5 words","flagged, no auto-remove match"
childrens-acetaminophen-oral-liquid-grape-flavor,"CHILDRENS ACETAMINOPHEN ORAL LIQUID GRAPE FLAVOR",246991,"form word: "liquid" | retail phrase: "childrens" | long name: 6 words","flagged, no auto-remove match"
little-remedies-childrens-fever-pain-reliever,"LITTLE REMEDIES CHILDRENS FEVER PAIN RELIEVER",246991,"symptom word: "fever" | retail phrase: "childrens" | long name: 6 words","flagged, no auto-remove match"
thompson-extra-strength-non-aspirin,"THOMPSON EXTRA STRENGTH NON-ASPIRIN",246991,"retail phrase: "extra strength" | long name: 5 words","flagged, no auto-remove match"
childrens-tukol-acetaminophen-fever-reducer-pain-reducer,"CHILDRENS TUKOL ACETAMINOPHEN FEVER REDUCER PAIN REDUCER",246991,"symptom word: "fever" | retail phrase: "childrens" | long name: 7 words","flagged, no auto-remove match"
childrens-pain-reliever-and-fever-reducer-grape,"CHILDRENS PAIN RELIEVER AND FEVER REDUCER GRAPE",246991,"symptom word: "pain" | retail phrase: "childrens" | long name: 7 words","flagged, no auto-remove match"
childrens-pain-reliever-and-fever-reducer-cherry,"CHILDRENS PAIN RELIEVER AND FEVER REDUCER CHERRY",246991,"symptom word: "pain" | retail phrase: "childrens" | long name: 7 words","flagged, no auto-remove match"
children-pain-and-fever-reliever,"CHILDREN PAIN AND FEVER RELIEVER",246991,"symptom word: "pain" | long name: 5 words","flagged, no auto-remove match"
bactimicina-childrens-pain-and-fever,"BACTIMICINA CHILDRENS PAIN AND FEVER",246991,"symptom word: "pain" | retail phrase: "childrens" | long name: 5 words","flagged, no auto-remove match"
major-extra-strength-acetaminophen-liquid,"MAJOR EXTRA STRENGTH ACETAMINOPHEN LIQUID",246991,"form word: "liquid" | retail phrase: "extra strength" | long name: 5 words","flagged, no auto-remove match"
folic-acid,"FOLIC ACID",244558,"symptom word: "acid"","flagged, no auto-remove match"
childrens-motrin,"CHILDRENS MOTRIN",197853,"retail phrase: "childrens"","flagged, no auto-remove match"
childrens-advil,"CHILDRENS ADVIL",196219,"retail phrase: "childrens"","flagged, no auto-remove match"
junior-strength-advil,"JUNIOR STRENGTH ADVIL",195263,"retail word: "junior"","flagged, no auto-remove match"
ibuprofen-fast-relief-medicine-for-pain,"IBUPROFEN FAST RELIEF MEDICINE FOR PAIN",195152,"symptom word: "relief" | long name: 6 words","flagged, no auto-remove match"
migraine-relief,"MIGRAINE RELIEF",195151,"symptom word: "relief"","flagged, no auto-remove match"
infants-motrin,"INFANTS MOTRIN",195057,"retail phrase: "infants"","flagged, no auto-remove match"
concentrated-ibuprofen-infants,"CONCENTRATED IBUPROFEN INFANTS",195037,"retail phrase: "infants"","flagged, no auto-remove match"
infants-advil,"INFANTS ADVIL",195036,"retail phrase: "infants"","flagged, no auto-remove match"
infants-dye-free-ibuprofen,"INFANTS DYE FREE IBUPROFEN",195031,"retail phrase: "infants"","flagged, no auto-remove match"
care-one-ibuprofen-childrens,"CARE ONE IBUPROFEN CHILDRENS",195031,"retail phrase: "childrens"","flagged, no auto-remove match"
childrens-ibuprofen-100-dye-free,"CHILDRENS IBUPROFEN 100 DYE FREE",195031,"retail phrase: "childrens" | long name: 5 words","flagged, no auto-remove match"
dye-free-pain-relief,"DYE-FREE PAIN RELIEF",195030,"symptom word: "pain"","flagged, no auto-remove match"
profen-ib-childrens,"PROFEN IB CHILDRENS",195030,"retail phrase: "childrens"","flagged, no auto-remove match"
cabinet-pain-reliever-and-fever-reducer,"CABINET PAIN RELIEVER AND FEVER REDUCER",195030,"symptom word: "pain" | long name: 6 words","flagged, no auto-remove match"
ibuprofen-lil-drug-store-50ct,"IBUPROFEN, LIL DRUG STORE, 50CT",195030,"long name: 5 words","flagged, no auto-remove match"
ibuprofen-pain-relieverfever-reducer,"IBUPROFEN PAIN RELIEVER/FEVER REDUCER",195030,"symptom word: "pain" | long name: 5 words","flagged, no auto-remove match"
green-guard-ibuprofen-relief,"GREEN GUARD IBUPROFEN RELIEF",195030,"symptom word: "relief"","flagged, no auto-remove match"
ibuprofen-lil-drug-store-24ct,"IBUPROFEN, LIL DRUG STORE, 24CT",195030,"long name: 5 words","flagged, no auto-remove match"
ibuprofen-mini-dye-free-advil,"IBUPROFEN MINI DYE FREE ADVIL",195030,"long name: 5 words","flagged, no auto-remove match"
childrens-flanax-oral,"CHILDRENS FLANAX ORAL",195030,"retail phrase: "childrens"","flagged, no auto-remove match"
green-guard-ibupro-relief,"GREEN GUARD IBUPRO RELIEF",195030,"symptom word: "relief"","flagged, no auto-remove match"
ibuprofen-247-life-by-7-eleven,"IBUPROFEN 24/7 LIFE BY 7-ELEVEN",195030,"long name: 7 words","flagged, no auto-remove match"
dye-free-childrens-ibuprofen,"DYE FREE CHILDRENS IBUPROFEN",195030,"retail phrase: "childrens"","flagged, no auto-remove match"
childrens-ibuprofen-fruit,"CHILDRENS IBUPROFEN FRUIT",195030,"retail phrase: "childrens"","flagged, no auto-remove match"
childrens-ibuprofen-bubblegum,"CHILDRENS IBUPROFEN BUBBLEGUM",195030,"retail phrase: "childrens"","flagged, no auto-remove match"
childrens-ibuprofen-blue-raspberry,"CHILDRENS IBUPROFEN BLUE RASPBERRY",195030,"retail phrase: "childrens"","flagged, no auto-remove match"
betr-pain-relief,"BETR PAIN RELIEF",195030,"symptom word: "pain"","flagged, no auto-remove match"
profen-ib-infants,"PROFEN IB INFANTS",195030,"retail phrase: "infants"","flagged, no auto-remove match"
back-and-muscle-pain,"BACK AND MUSCLE PAIN",87510,"symptom word: "pain"","flagged, no auto-remove match"
all-day-allergy-relief,"ALL DAY ALLERGY RELIEF",84542,"symptom word: "allergy"","flagged, no auto-remove match"
paclitaxel-protein-bound-particles-albumin-bound,"PACLITAXEL PROTEIN BOUND PARTICLES ALBUMIN BOUND",79286,"long name: 6 words","flagged, no auto-remove match"
nightime-sleep-aid,"NIGHTIME SLEEP AID",79188,"symptom word: "sleep"","flagged, no auto-remove match"
acid-controller,"ACID CONTROLLER",78891,"symptom word: "acid"","flagged, no auto-remove match"
heartburn-prevention,"HEARTBURN PREVENTION",78851,"symptom word: "heartburn"","flagged, no auto-remove match"
welby-childrens-allergy-relief,"WELBY CHILDRENS ALLERGY RELIEF",76854,"symptom word: "allergy" | retail phrase: "childrens"","flagged, no auto-remove match"
acid-reducer-original-strength,"ACID REDUCER ORIGINAL STRENGTH",73777,"symptom word: "acid"","flagged, no auto-remove match"
acid-controller-original-strength,"ACID CONTROLLER ORIGINAL STRENGTH",73592,"symptom word: "acid"","flagged, no auto-remove match"
maximum-strength-pepcid-ac-icy-cool-mint,"MAXIMUM STRENGTH PEPCID AC ICY COOL MINT",73568,"retail phrase: "maximum strength" | long name: 7 words","flagged, no auto-remove match"
calmicid-ac-acid-reducer,"CALMICID AC ACID REDUCER",73552,"symptom word: "acid"","flagged, no auto-remove match"
maximum-strength-acid-reducer,"MAXIMUM STRENGTH ACID REDUCER",73552,"symptom word: "acid" | retail phrase: "maximum strength"","flagged, no auto-remove match"
major-heartburn-relief-maximum-strength,"MAJOR HEARTBURN RELIEF MAXIMUM STRENGTH",73551,"symptom word: "heartburn" | retail phrase: "maximum strength" | long name: 5 words","flagged, no auto-remove match"
original-strength-heartburn-prevention,"ORIGINAL STRENGTH HEARTBURN PREVENTION",73551,"symptom word: "heartburn"","flagged, no auto-remove match"
maximum-strength-acid-controller,"MAXIMUM STRENGTH ACID CONTROLLER",73551,"symptom word: "acid" | retail phrase: "maximum strength"","flagged, no auto-remove match"
sodium-chloride-ophthalmic-5-percent-hypertonicity-eye,"SODIUM CHLORIDE OPHTHALMIC 5 PERCENT HYPERTONICITY EYE",70390,"long name: 7 words","flagged, no auto-remove match"
wild-horse-777-moisturizing-nasal,"WILD HORSE 777 MOISTURIZING NASAL",70390,"long name: 5 words","flagged, no auto-remove match"
cetirizine-hydrochloride-hives-relief,"CETIRIZINE HYDROCHLORIDE HIVES RELIEF",67105,"symptom word: "relief"","flagged, no auto-remove match"
children-claritin-allergy,"CHILDREN CLARITIN ALLERGY",49219,"symptom word: "allergy"","flagged, no auto-remove match"
welby-allergy-relief,"WELBY ALLERGY RELIEF",48175,"symptom word: "allergy"","flagged, no auto-remove match"
antacid-extra-strength-wintergreen,"ANTACID EXTRA STRENGTH WINTERGREEN",46344,"symptom word: "antacid" | retail phrase: "extra strength"","flagged, no auto-remove match"
extra-strength-smooth-antacid-assorted-fruit,"EXTRA STRENGTH SMOOTH ANTACID ASSORTED FRUIT",46213,"symptom word: "antacid" | retail phrase: "extra strength" | long name: 6 words","flagged, no auto-remove match"
soothe-childrens,"SOOTHE CHILDRENS",45910,"retail phrase: "childrens"","flagged, no auto-remove match"
extra-strength-smooth-antacid,"EXTRA STRENGTH SMOOTH ANTACID",45831,"symptom word: "antacid" | retail phrase: "extra strength"","flagged, no auto-remove match"
extra-strength-smooth,"EXTRA STRENGTH SMOOTH",45831,"retail phrase: "extra strength"","flagged, no auto-remove match"
amazon-ultra-strength-antacid,"AMAZON ULTRA STRENGTH ANTACID",45826,"symptom word: "antacid"","flagged, no auto-remove match"
extra-strength-smooth-antacid-assorted-berries,"EXTRA STRENGTH SMOOTH ANTACID ASSORTED BERRIES",45825,"symptom word: "antacid" | retail phrase: "extra strength" | long name: 6 words","flagged, no auto-remove match"
extra-strength-smooth-peppermint-antacid,"EXTRA STRENGTH SMOOTH PEPPERMINT ANTACID",45825,"symptom word: "antacid" | retail phrase: "extra strength" | long name: 5 words","flagged, no auto-remove match"
fast-acting-heartburn-relief-peppermint-flavor,"FAST ACTING HEARTBURN RELIEF PEPPERMINT FLAVOR",45825,"symptom word: "heartburn" | long name: 6 words","flagged, no auto-remove match"
extra-strength-antacid-assorted-fruit,"EXTRA STRENGTH ANTACID ASSORTED FRUIT",45825,"symptom word: "antacid" | retail phrase: "extra strength" | long name: 5 words","flagged, no auto-remove match"
extra-strength-antacid-tropical-fruit,"EXTRA STRENGTH ANTACID TROPICAL FRUIT",45825,"symptom word: "antacid" | retail phrase: "extra strength" | long name: 5 words","flagged, no auto-remove match"
extra-strength-assorted-fruit-antacid,"EXTRA STRENGTH ASSORTED FRUIT ANTACID",45825,"symptom word: "antacid" | retail phrase: "extra strength" | long name: 5 words","flagged, no auto-remove match"
