slug,brand_name,total_reports,flag_reason,cat_why
mgc-health-calcium-carbonate-antacid-assorted-berries,"MGC HEALTH CALCIUM CARBONATE ANTACID ASSORTED BERRIES",45825,"symptom word: "antacid" | long name: 7 words","flagged, no auto-remove match"
mgc-health-calcium-carbonate-antacid-tropical-fruit,"MGC HEALTH CALCIUM CARBONATE ANTACID TROPICAL FRUIT",45825,"symptom word: "antacid" | long name: 7 words","flagged, no auto-remove match"
mgc-health-antacid-soft-chews-cherry-flavor,"MGC HEALTH ANTACID SOFT CHEWS CHERRY FLAVOR",45825,"symptom word: "antacid" | long name: 7 words","flagged, no auto-remove match"
childrens-tummy-relief,"CHILDRENS TUMMY RELIEF",45825,"symptom word: "relief" | retail phrase: "childrens"","flagged, no auto-remove match"
childrens-stomach-relief-antacid,"CHILDRENS STOMACH RELIEF ANTACID",45825,"symptom word: "relief" | retail phrase: "childrens"","flagged, no auto-remove match"
childrens-stomach-relief,"CHILDRENS STOMACH RELIEF",45825,"symptom word: "relief" | retail phrase: "childrens"","flagged, no auto-remove match"
alkums-antacid,"ALKUMS ANTACID",45825,"symptom word: "antacid"","flagged, no auto-remove match"
amazon-basics-cherry-antacid-sc,"AMAZON BASICS CHERRY ANTACID SC",45825,"symptom word: "antacid" | long name: 5 words","flagged, no auto-remove match"
assorted-fruit-antacid-chews,"ASSORTED FRUIT ANTACID CHEWS",45825,"symptom word: "antacid"","flagged, no auto-remove match"
equ-ultra-strength-antacid-assorted-fruit-171af,"EQU ULTRA STRENGTH ANTACID ASSORTED FRUIT 171AF",45825,"symptom word: "antacid" | long name: 7 words","flagged, no auto-remove match"
mens-rogaine-extra-strength-unscented,"MENS ROGAINE EXTRA STRENGTH UNSCENTED",32598,"retail phrase: "extra strength" | long name: 5 words","flagged, no auto-remove match"
hair-beardgrowth-foam,"HAIR BEARDGROWTH FOAM",32253,"form word: "foam"","flagged, no auto-remove match"
stye-eye-relief-serum,"STYE EYE RELIEF SERUM",30796,"symptom word: "relief"","flagged, no auto-remove match"
ascorbic-acid,"ASCORBIC ACID",22825,"symptom word: "acid"","flagged, no auto-remove match"
childrens-dye-free-allergy-relief,"CHILDRENS DYE FREE ALLERGY RELIEF",16218,"symptom word: "allergy" | retail phrase: "childrens" | long name: 5 words","flagged, no auto-remove match"
heparin-sodium-in-sodium-chloride,"HEPARIN SODIUM IN SODIUM CHLORIDE",13210,"long name: 5 words","flagged, no auto-remove match"
calcium-gluconate-in-sodium-chloride,"CALCIUM GLUCONATE IN SODIUM CHLORIDE",11778,"long name: 5 words","flagged, no auto-remove match"
curist-acne-relief,"CURIST ACNE RELIEF",5024,"symptom word: "relief"","flagged, no auto-remove match"
